match_id,candidate_id,job_id,candidate_skills,job_required_skill,candidate_distance_km,candidate_experience_years,skill_match,match_score
1,CAND0030,JOB0546,"data analysis,react,cpp,cybersecurity,node,azure",git,36.5,4,0,0.134
2,CAND0094,JOB0636,"testing,azure,machine learning",testing,39.8,3,1,0.601
3,CAND0033,JOB0159,"react,docker,azure,angular,machine learning",devops,6.2,3,0,0.235
4,CAND0378,JOB1149,"azure,devops,javascript,flutter",react,41.1,12,0,0.276
5,CAND0114,JOB0847,"cpp,blockchain,testing,java",docker,41.2,1,0,0.055
6,CAND0570,JOB0318,"machine learning,aws,docker,python,azure",git,22.7,5,0,0.209
7,CAND0465,JOB0734,"sql,java,node,blockchain,javascript",linux,31.2,3,0,0.135
8,CAND0258,JOB0546,"devops,angular,linux,git,node",java,49.4,11,0,0.222
9,CAND0593,JOB1021,"cybersecurity,data analysis,aws",angular,38.7,13,0,0.305
10,CAND0645,JOB1147,"linux,sql,cpp",cpp,13.5,13,1,0.906
11,CAND0756,JOB1085,"data analysis,angular,flutter,aws,cpp,python",node,24.3,14,0,0.383
12,CAND0505,JOB0050,"sql,angular,docker,azure",sql,17.3,2,1,0.671
13,CAND0731,JOB0904,"testing,azure,aws,python,javascript",react,9.6,5,0,0.262
14,CAND0331,JOB0339,"javascript,devops,react,git,aws,cybersecurity",react,21.5,7,1,0.754
15,CAND0022,JOB0097,"docker,flutter,react,java,blockchain,javascript",cpp,18.6,15,0,0.426
16,CAND0713,JOB1138,"devops,cpp,docker,javascript,cybersecurity",cpp,41.6,12,1,0.774
17,CAND0227,JOB0490,"aws,testing,flutter,node,cpp,machine learning",cpp,26.1,10,1,0.796
18,CAND0681,JOB0797,"blockchain,azure,angular,devops",cpp,45.7,11,0,0.237
19,CAND0587,JOB1011,"cybersecurity,javascript,node,react",linux,43.7,11,0,0.245
20,CAND0147,JOB0784,"machine learning,javascript,react,data analysis,blockchain",node,12.4,6,0,0.27
21,CAND0162,JOB0523,"python,react,angular,azure,aws",java,9.7,11,0,0.381
22,CAND0151,JOB0573,"git,angular,java,javascript,azure",devops,25.3,12,0,0.339
23,CAND0066,JOB1021,"angular,git,aws,react",cpp,31.7,9,0,0.253
24,CAND0039,JOB1141,"angular,flutter,node",aws,10.0,8,0,0.32
25,CAND0256,JOB0929,"flutter,linux,data analysis,cpp,devops",react,20.5,1,0,0.138
26,CAND0767,JOB0441,"angular,testing,blockchain",docker,16.5,3,0,0.194
27,CAND0005,JOB0865,"node,blockchain,javascript,aws,flutter",react,21.4,1,0,0.134
28,CAND0403,JOB0333,"cybersecurity,sql,machine learning,flutter,git",node,43.9,0,0,0.024
29,CAND0451,JOB1100,"angular,machine learning,data analysis",linux,35.1,6,0,0.18
